ParticipantID,Excluded,Group,Cue,Stimulus,CorrResp_sum,Resptarg_sum,CorrResp_perc
1,0,5hr,LT,Go_gun,60,60,1
1,0,5hr,HT,Go_gun,69,70,0.99
1,0,5hr,LT,NoGo_phone,14,23,0.61
1,0,5hr,HT,NoGo_phone,7,16,0.44
2,0,8hr,LT,Go_gun,109,109,1
2,0,8hr,HT,Go_gun,96,98,0.98
2,0,8hr,LT,NoGo_phone,19,21,0.9
2,0,8hr,HT,NoGo_phone,24,25,0.96
3,0,5hr,LT,Go_gun,99,103,0.96
3,0,5hr,HT,Go_gun,97,100,0.97
3,0,5hr,LT,NoGo_phone,25,27,0.93
3,0,5hr,HT,NoGo_phone,22,24,0.92
5,0,5hr,LT,Go_gun,50,51,0.98
5,0,5hr,HT,Go_gun,54,56,0.96
5,0,5hr,LT,NoGo_phone,12,22,0.55
5,0,5hr,HT,NoGo_phone,8,31,0.26
6,0,8hr,LT,Go_gun,91,95,0.96
6,0,8hr,HT,Go_gun,96,98,0.98
6,0,8hr,LT,NoGo_phone,20,28,0.71
6,0,8hr,HT,NoGo_phone,23,28,0.82
7,4,5hr,LT,Go_gun,91,92,0.99
7,4,5hr,HT,Go_gun,98,99,0.99
7,4,5hr,LT,NoGo_phone,19,26,0.73
7,4,5hr,HT,NoGo_phone,11,22,0.5
8,4,8hr,LT,Go_gun,97,98,0.99
8,4,8hr,HT,Go_gun,104,107,0.97
8,4,8hr,LT,NoGo_phone,13,24,0.54
8,4,8hr,HT,NoGo_phone,11,21,0.52
9,0,5hr,LT,Go_gun,107,109,0.98
9,0,5hr,HT,Go_gun,109,116,0.94
9,0,5hr,LT,NoGo_phone,19,20,0.95
9,0,5hr,HT,NoGo_phone,12,15,0.8
11,0,5hr,LT,Go_gun,103,104,0.99
11,0,5hr,HT,Go_gun,108,109,0.99
11,0,5hr,LT,NoGo_phone,17,24,0.71
11,0,5hr,HT,NoGo_phone,15,16,0.94
12,0,8hr,LT,Go_gun,92,92,1
12,0,8hr,HT,Go_gun,96,97,0.99
12,0,8hr,LT,NoGo_phone,33,37,0.89
12,0,8hr,HT,NoGo_phone,21,26,0.81
13,0,5hr,LT,Go_gun,101,101,1
13,0,5hr,HT,Go_gun,99,100,0.99
13,0,5hr,LT,NoGo_phone,18,24,0.75
13,0,5hr,HT,NoGo_phone,20,27,0.74
