ParticipantID,Excluded,Group,Cue,OpponentID,OpponentID_correct,Unpleasantness_sound_begin,Unpleasantness_sound_end,Certainty,Motivation,Valence,Arousal,Dominance
1,0,5hr,LT,2,1,3,2,9,7,5,4,8
2,0,8hr,LT,1,1,1,1,9,5,5,7,5
3,0,5hr,LT,2,1,4,1,9,5,3,7,6
5,0,5hr,LT,1,1,3,3,9,8,7,3,5
6,0,8hr,LT,2,0,2,1,6,8,3,1,1
7,4,5hr,LT,1,1,1,1,9,6,6,4,6
8,4,8hr,LT,2,1,1,2,9,6,5,7,8
9,0,5hr,LT,2,1,3,2,8,7,5,6,6
11,0,5hr,LT,2,1,1,1,9,7,5,3,7
12,0,8hr,LT,2,1,5,1,6,6,5,7,6
13,0,5hr,LT,1,1,1,1,8,7,4,6,6
14,0,8hr,LT,2,1,2,2,7,5,5,6,5
16,0,8hr,LT,2,1,4,3,9,8,6,7,8
18,0,8hr,LT,2,1,1,1,9,7,4,7,7
19,0,5hr,LT,2,1,1,1,9,9,5,7,5
21,0,5hr,LT,1,1,4,2,9,3,4,8,8
22,0,8hr,LT,2,1,1,1,8,6,3,6,4
23,0,5hr,LT,2,1,1,1,9,7,4,7,7
24,0,8hr,LT,2,1,2,3,7,6,5,5,6
26,0,8hr,LT,1,1,1,1,9,8,3,7,3
27,0,5hr,LT,2,1,2,1,9,6,6,4,7
28,0,8hr,LT,1,1,1,1,9,7,5,7,7
30,0,8hr,LT,2,1,1,1,9,8,4,4,7
31,0,5hr,LT,2,1,1,1,9,7,5,5,5
32,0,8hr,LT,2,1,6,4,9,7,7,6,4
33,0,5hr,LT,1,1,2,1,9,8,3,8,8
38,0,8hr,LT,1,1,1,1,7,8,7,8,7
40,0,8hr,LT,2,1,2,1,9,7,6,5,5
42,0,8hr,LT,2,1,1,1,8,5,5,8,6
44,3,8hr,LT,1,1,1,1,7,5,5,6,7
45,0,5hr,LT,2,0,3,1,6,8,7,3,4
47,0,5hr,LT,1,1,2,2,8,5,7,7,7
48,0,8hr,LT,1,1,2,2,9,4,3,7,4
49,0,5hr,LT,1,1,1,1,8,3,5,6,7
50,0,8hr,LT,1,1,1,1,9,7,4,6,7
52,0,8hr,LT,2,1,6,2,9,7,4,7,8
53,0,5hr,LT,1,1,1,1,9,3,4,7,8
54,0,8hr,LT,1,1,1,1,9,4,5,8,8
60,3,8hr,LT,1,1,1,1,9,3,5,5,5
61,0,5hr,LT,2,1,1,1,3,5,5,5,5
62,0,8hr,LT,2,1,1,1,9,6,5,7,8
63,0,5hr,LT,2,1,1,1,9,3,5,6,5
64,0,8hr,LT,2,1,1,1,9,7,5,4,7
66,0,8hr,LT,1,1,2,2,9,9,3,8,8
67,0,5hr,LT,1,1,1,1,9,4,4,5,4
70,3,8hr,LT,2,1,2,2,9,8,6,3,4
72,0,8hr,LT,1,1,1,1,9,2,3,8,6
73,0,5hr,LT,1,1,1,1,9,6,5,6,3
75,0,5hr,LT,2,1,1,1,9,4,3,7,9
77,0,5hr,LT,2,1,2,2,9,6,4,4,3
79,0,5hr,LT,2,1,1,1,9,6,5,6,8
81,0,5hr,LT,2,1,2,2,9,6,4,5,5
89,0,5hr,LT,1,1,1,1,9,9,6,5,4
91,0,5hr,LT,1,1,1,1,9,5,3,5,4
93,0,5hr,LT,2,1,1,1,9,8,7,7,8
1,0,5hr,HT,1,1,8,8,9,9,9,3,7
2,0,8hr,HT,2,1,7,7,9,8,7,4,7
3,0,5hr,HT,1,1,9,9,9,8,8,2,6
5,0,5hr,HT,2,1,7,7,9,8,7,3,5
6,0,8hr,HT,1,0,2,1,6,6,3,3,4
7,4,5hr,HT,2,1,4,4,9,7,5,3,7
8,4,8hr,HT,1,1,8,7,9,9,7,2,4
9,0,5hr,HT,1,1,7,5,8,8,6,5,7
11,0,5hr,HT,1,1,7,6,9,7,4,3,7
12,0,8hr,HT,1,1,7,4,6,7,4,7,6
13,0,5hr,HT,2,1,6,6,8,8,7,4,5
14,0,8hr,HT,1,1,8,7,7,6,7,6,5
16,0,8hr,HT,1,1,7,8,9,9,8,5,7
18,0,8hr,HT,1,1,7,7,9,8,4,7,6
19,0,5hr,HT,1,1,9,6,9,9,9,5,9
21,0,5hr,HT,2,1,6,8,9,7,7,3,4
22,0,8hr,HT,1,1,7,4,8,9,7,3,7
23,0,5hr,HT,1,1,8,5,9,9,7,4,3
24,0,8hr,HT,1,1,6,1,6,6,4,4,7
26,0,8hr,HT,2,1,6,5,9,9,8,4,6
27,0,5hr,HT,1,1,7,6,9,8,8,2,5
28,0,8hr,HT,2,1,8,8,9,8,8,3,7
30,0,8hr,HT,1,1,9,6,9,9,5,3,7
31,0,5hr,HT,1,1,8,8,9,8,7,4,5
32,0,8hr,HT,1,1,7,6,9,8,6,4,3
33,0,5hr,HT,2,1,9,7,9,9,8,4,4
38,0,8hr,HT,2,1,8,8,7,8,7,7,7
40,0,8hr,HT,1,1,7,6,9,8,8,3,4
42,0,8hr,HT,1,1,3,2,7,6,6,7,4
44,3,8hr,HT,2,1,9,3,7,7,7,4,3
45,0,5hr,HT,1,0,6,4,6,4,4,7,6
47,0,5hr,HT,2,1,8,8,7,8,2,2,2
48,0,8hr,HT,2,1,8,6,9,6,7,3,6
49,0,5hr,HT,2,1,7,8,8,8,9,2,5
50,0,8hr,HT,2,1,9,7,9,9,9,2,4
52,0,8hr,HT,1,1,8,6,9,9,8,2,3
53,0,5hr,HT,2,1,7,8,9,7,7,4,6
54,0,8hr,HT,2,1,9,6,9,8,8,2,2
60,3,8hr,HT,2,1,9,8,9,9,9,1,2
61,0,5hr,HT,1,1,8,6,4,7,7,3,3
62,0,8hr,HT,1,1,7,7,9,8,7,6,7
63,0,5hr,HT,1,1,4,2,9,4,6,5,6
64,0,8hr,HT,1,1,8,7,9,8,7,2,9
66,0,8hr,HT,2,1,8,8,9,7,8,3,3
67,0,5hr,HT,2,1,7,4,9,7,8,5,7
70,3,8hr,HT,1,1,4,8,9,9,8,2,2
72,0,8hr,HT,2,1,9,6,9,7,8,4,4
73,0,5hr,HT,2,1,8,9,9,7,7,7,5
75,0,5hr,HT,1,1,5,4,9,9,9,2,8
77,0,5hr,HT,1,1,8,6,9,8,8,6,5
79,0,5hr,HT,1,1,9,9,9,9,9,9,5
81,0,5hr,HT,1,1,8,4,9,7,6,3,6
89,0,5hr,HT,2,1,7,2,9,9,6,5,7
91,0,5hr,HT,2,1,7,6,9,7,6,3,6
93,0,5hr,HT,1,1,7,3,9,5,3,5,4
