ParticipantID,Excluded,Group,Cue,CorrResp_gun_sum,gun_Resptarg_sum,FA_phone_sum,phone_Resptarg_sum,Hitrate_gun,FArate_gun,Hitrate_gun_adj,FArate_gun_adj,dprime_gun,ratiobeta_gun,ln_ratiobeta_gun
1,0,5hr,LT,60,60,9,23,1,0.39,0.99,0.39,2.67,0.06,-2.83
1,0,5hr,HT,69,70,9,16,0.99,0.56,0.99,0.56,2.03,0.09,-2.38
2,0,8hr,LT,109,109,2,21,1,0.1,1,0.1,3.91,0.08,-2.54
2,0,8hr,HT,96,98,1,25,0.98,0.04,0.98,0.04,3.8,0.57,-0.56
3,0,5hr,LT,99,103,2,27,0.96,0.07,0.96,0.07,3.21,0.6,-0.51
3,0,5hr,HT,97,100,2,24,0.97,0.08,0.97,0.08,3.26,0.44,-0.81
5,0,5hr,LT,50,51,10,22,0.98,0.45,0.98,0.45,2.18,0.12,-2.12
5,0,5hr,HT,54,56,23,31,0.96,0.74,0.96,0.74,1.15,0.24,-1.41
6,0,8hr,LT,91,95,8,28,0.96,0.29,0.96,0.29,2.29,0.26,-1.33
6,0,8hr,HT,96,98,5,28,0.98,0.18,0.98,0.18,2.97,0.19,-1.67
7,4,5hr,LT,91,92,7,26,0.99,0.27,0.99,0.27,2.91,0.09,-2.44
7,4,5hr,HT,98,99,11,22,0.99,0.5,0.99,0.5,2.32,0.07,-2.7
8,4,8hr,LT,97,98,11,24,0.99,0.46,0.99,0.46,2.42,0.07,-2.68
8,4,8hr,HT,104,107,10,21,0.97,0.48,0.97,0.48,1.97,0.16,-1.82
9,0,5hr,LT,107,109,1,20,0.98,0.05,0.98,0.05,3.73,0.44,-0.83
9,0,5hr,HT,109,116,3,15,0.94,0.2,0.94,0.2,2.39,0.43,-0.85
11,0,5hr,LT,103,104,7,24,0.99,0.29,0.99,0.29,2.89,0.08,-2.59
11,0,5hr,HT,108,109,1,16,0.99,0.06,0.99,0.06,3.89,0.2,-1.6
12,0,8hr,LT,92,92,4,37,1,0.11,0.99,0.11,3.78,0.08,-2.48
12,0,8hr,HT,96,97,5,26,0.99,0.19,0.99,0.19,3.18,0.1,-2.3
13,0,5hr,LT,101,101,6,24,1,0.25,1,0.25,3.25,0.05,-3.1
13,0,5hr,HT,99,100,7,27,0.99,0.26,0.99,0.26,2.97,0.08,-2.5
14,0,8hr,LT,94,95,0,34,0.99,0,0.99,0.01,4.48,0.75,-0.29
14,0,8hr,HT,97,105,1,25,0.92,0.04,0.92,0.04,3.18,1.66,0.51
16,0,8hr,LT,101,108,1,23,0.94,0.04,0.94,0.04,3.23,1.37,0.32
16,0,8hr,HT,97,102,5,30,0.95,0.17,0.95,0.17,2.62,0.41,-0.9
18,0,8hr,LT,95,107,1,26,0.89,0.04,0.89,0.04,2.98,2.28,0.83
18,0,8hr,HT,90,99,3,32,0.91,0.09,0.91,0.09,2.65,0.98,-0.02
19,0,5hr,LT,105,105,3,21,1,0.14,1,0.14,3.66,0.06,-2.79
19,0,5hr,HT,100,101,3,27,0.99,0.11,0.99,0.11,3.55,0.14,-1.97
21,0,5hr,LT,68,84,8,25,0.81,0.32,0.81,0.32,1.34,0.76,-0.27
21,0,5hr,HT,102,107,7,18,0.95,0.39,0.95,0.39,1.96,0.25,-1.37
22,0,8hr,LT,109,116,3,18,0.94,0.17,0.94,0.17,2.52,0.48,-0.74
22,0,8hr,HT,101,104,2,24,0.97,0.08,0.97,0.08,3.28,0.43,-0.84
23,0,5hr,LT,92,95,6,20,0.97,0.3,0.97,0.3,2.38,0.2,-1.59
23,0,5hr,HT,107,109,10,18,0.98,0.56,0.98,0.56,1.95,0.11,-2.17
24,0,8hr,LT,93,94,5,33,0.99,0.15,0.99,0.15,3.33,0.12,-2.12
24,0,8hr,HT,100,100,6,25,1,0.24,1,0.24,3.28,0.05,-3.07
26,0,8hr,LT,95,96,0,31,0.99,0,0.99,0.02,4.45,0.69,-0.38
26,0,8hr,HT,100,100,0,26,1,0,1,0.02,4.65,0.31,-1.18
27,0,5hr,LT,103,108,10,24,0.95,0.42,0.95,0.42,1.89,0.25,-1.39
27,0,5hr,HT,106,109,12,21,0.97,0.57,0.97,0.57,1.74,0.16,-1.82
28,0,8hr,LT,97,99,1,29,0.98,0.03,0.98,0.03,3.87,0.64,-0.45
28,0,8hr,HT,95,97,1,26,0.98,0.04,0.98,0.04,3.81,0.6,-0.52
30,0,8hr,LT,96,96,1,29,1,0.03,0.99,0.03,4.38,0.2,-1.63
30,0,8hr,HT,98,98,3,28,1,0.11,0.99,0.11,3.81,0.08,-2.53
31,0,5hr,LT,104,105,3,23,0.99,0.13,0.99,0.13,3.47,0.12,-2.12
31,0,5hr,HT,98,100,2,24,0.98,0.08,0.98,0.08,3.44,0.32,-1.15
32,0,8hr,LT,88,92,3,28,0.96,0.11,0.96,0.11,2.95,0.5,-0.69
32,0,8hr,HT,103,106,4,16,0.97,0.25,0.97,0.25,2.58,0.2,-1.59
33,0,5hr,LT,89,103,1,32,0.86,0.03,0.86,0.03,2.96,3.1,1.13
33,0,5hr,HT,92,105,1,27,0.88,0.04,0.88,0.04,2.94,2.53,0.93
38,0,8hr,LT,96,97,6,24,0.99,0.25,0.99,0.25,2.99,0.09,-2.45
38,0,8hr,HT,99,100,10,26,0.99,0.38,0.99,0.38,2.62,0.07,-2.66
40,0,8hr,LT,97,98,8,29,0.99,0.28,0.99,0.28,2.91,0.08,-2.51
40,0,8hr,HT,100,102,4,22,0.98,0.18,0.98,0.18,2.97,0.18,-1.71
42,0,8hr,LT,99,103,9,16,0.96,0.56,0.96,0.56,1.61,0.21,-1.54
42,0,8hr,HT,96,98,8,20,0.98,0.4,0.98,0.4,2.3,0.13,-2.06
44,3,8hr,LT,98,102,8,25,0.96,0.32,0.96,0.32,2.23,0.24,-1.44
44,3,8hr,HT,100,104,5,25,0.96,0.2,0.96,0.2,2.61,0.3,-1.21
45,0,5hr,LT,79,93,3,15,0.85,0.2,0.85,0.2,1.88,0.83,-0.18
45,0,5hr,HT,78,90,8,27,0.87,0.3,0.87,0.3,1.65,0.62,-0.47
47,0,5hr,LT,95,99,5,26,0.96,0.19,0.96,0.19,2.62,0.32,-1.15
47,0,5hr,HT,92,94,6,28,0.98,0.21,0.98,0.21,2.82,0.17,-1.74
48,0,8hr,LT,96,105,3,21,0.91,0.14,0.91,0.14,2.44,0.69,-0.37
48,0,8hr,HT,105,112,1,20,0.94,0.05,0.94,0.05,3.18,1.19,0.18
49,0,5hr,LT,97,98,3,27,0.99,0.11,0.99,0.11,3.54,0.14,-1.94
49,0,5hr,HT,91,104,4,20,0.88,0.2,0.88,0.2,1.99,0.74,-0.31
50,0,8hr,LT,95,97,1,26,0.98,0.04,0.98,0.04,3.81,0.6,-0.52
50,0,8hr,HT,94,96,2,29,0.98,0.07,0.98,0.07,3.52,0.38,-0.97
52,0,8hr,LT,98,98,5,30,1,0.17,0.99,0.17,3.54,0.06,-2.83
52,0,8hr,HT,95,99,3,29,0.96,0.1,0.96,0.1,3.01,0.48,-0.73
53,0,5hr,LT,96,99,4,29,0.97,0.14,0.97,0.14,2.97,0.31,-1.17
53,0,5hr,HT,108,110,0,17,0.98,0,0.98,0.03,3.98,0.67,-0.4
54,0,8hr,LT,90,97,1,27,0.93,0.04,0.93,0.04,3.25,1.7,0.53
54,0,8hr,HT,87,94,2,35,0.93,0.06,0.93,0.06,3.02,1.23,0.21
60,3,8hr,LT,83,95,5,30,0.87,0.17,0.87,0.17,2.11,0.83,-0.19
60,3,8hr,HT,100,100,11,29,1,0.38,1,0.38,2.88,0.04,-3.27
61,0,5hr,LT,99,107,0,19,0.93,0,0.93,0.03,3.38,2.31,0.84
61,0,5hr,HT,93,109,0,22,0.85,0,0.85,0.02,3.05,4.26,1.45
62,0,8hr,LT,88,98,3,29,0.9,0.1,0.9,0.1,2.53,0.99,-0.01
62,0,8hr,HT,92,95,6,31,0.97,0.19,0.97,0.19,2.72,0.26,-1.35
63,0,5hr,LT,98,103,2,21,0.95,0.1,0.95,0.1,2.97,0.59,-0.52
63,0,5hr,HT,93,106,1,20,0.88,0.05,0.88,0.05,2.81,1.97,0.68
64,0,8hr,LT,98,105,0,21,0.93,0,0.93,0.02,3.48,2.3,0.84
64,0,8hr,HT,107,114,3,18,0.94,0.17,0.94,0.17,2.51,0.49,-0.72
66,0,8hr,LT,100,102,9,27,0.98,0.33,0.98,0.33,2.49,0.13,-2.03
66,0,8hr,HT,100,100,11,28,1,0.39,1,0.39,2.85,0.04,-3.28
67,0,5hr,LT,109,115,4,11,0.95,0.36,0.95,0.36,1.97,0.28,-1.26
67,0,5hr,HT,92,101,8,21,0.91,0.38,0.91,0.38,1.65,0.42,-0.86
70,3,8hr,LT,106,106,2,19,1,0.11,1,0.11,3.85,0.08,-2.59
70,3,8hr,HT,102,102,3,23,1,0.13,1,0.13,3.71,0.07,-2.7
72,0,8hr,LT,103,110,0,19,0.94,0,0.94,0.03,3.46,2.04,0.72
72,0,8hr,HT,100,102,1,22,0.98,0.05,0.98,0.05,3.75,0.5,-0.7
73,0,5hr,LT,93,96,5,23,0.97,0.22,0.97,0.22,2.64,0.24,-1.43
73,0,5hr,HT,92,99,8,25,0.93,0.32,0.93,0.32,1.94,0.38,-0.97
75,0,5hr,LT,72,78,6,22,0.92,0.27,0.92,0.27,2.03,0.43,-0.83
75,0,5hr,HT,91,97,13,24,0.94,0.54,0.94,0.54,1.43,0.31,-1.18
77,0,5hr,LT,80,95,6,28,0.84,0.21,0.84,0.21,1.79,0.83,-0.19
77,0,5hr,HT,98,112,4,18,0.88,0.22,0.88,0.22,1.92,0.69,-0.37
79,0,5hr,LT,102,105,2,21,0.97,0.1,0.97,0.1,3.21,0.39,-0.95
79,0,5hr,HT,102,103,2,23,0.99,0.09,0.99,0.09,3.7,0.16,-1.81
81,0,5hr,LT,99,102,0,24,0.97,0,0.97,0.02,3.93,1.34,0.29
81,0,5hr,HT,92,95,1,27,0.97,0.04,0.97,0.04,3.64,0.88,-0.13
89,0,5hr,LT,89,99,1,24,0.9,0.04,0.9,0.04,3.01,1.98,0.69
89,0,5hr,HT,98,105,1,28,0.93,0.04,0.93,0.04,3.3,1.65,0.5
91,0,5hr,LT,99,100,4,22,0.99,0.18,0.99,0.18,3.23,0.1,-2.29
91,0,5hr,HT,98,98,4,20,1,0.2,0.99,0.2,3.41,0.05,-2.95
93,0,5hr,LT,107,121,0,18,0.88,0,0.88,0.03,3.11,3.05,1.12
93,0,5hr,HT,92,105,1,27,0.88,0.04,0.88,0.04,2.94,2.53,0.93
